Date,Open,High,Low,Close,Adj Close,Volume
2021-01-11,266.750000,267.000000,254.899994,255.949997,255.949997,12932516
2021-01-12,253.000000,263.100006,249.699997,257.500000,257.500000,14059128
2021-01-13,258.350006,263.600006,247.199997,254.399994,254.399994,17572485
2021-01-14,256.299988,258.950012,253.050003,254.199997,254.199997,9763818
2021-01-15,254.000000,259.750000,251.550003,253.899994,253.899994,13958474
2021-01-18,251.750000,253.000000,242.800003,244.399994,244.399994,11730430
2021-01-19,248.100006,255.050003,245.500000,254.250000,254.250000,9180912
2021-01-20,256.399994,257.850006,252.000000,253.750000,253.750000,9068806
2021-01-21,254.250000,265.600006,248.250000,250.550003,250.550003,19491404
2021-01-22,250.000000,250.649994,228.750000,232.800003,232.800003,25846533
2021-01-25,236.850006,240.000000,218.100006,222.750000,222.750000,23771720
2021-01-27,224.000000,227.100006,217.350006,218.649994,218.649994,20026659
2021-01-28,213.600006,220.500000,209.199997,215.050003,215.050003,22628038
2021-01-29,219.949997,231.250000,212.500000,213.800003,213.800003,37026300
2021-02-01,215.949997,244.850006,212.300003,236.850006,236.850006,29981324
2021-02-02,242.100006,249.350006,238.000000,242.399994,242.399994,29105457
2021-02-03,243.899994,262.399994,239.000000,256.549988,256.549988,35216299
2021-02-04,253.949997,258.950012,251.000000,257.299988,257.299988,18416736
2021-02-05,259.000000,268.799988,248.800003,251.100006,251.100006,29235565
2021-02-08,254.000000,257.950012,246.000000,247.399994,247.399994,12412595
2021-02-09,248.500000,250.850006,243.250000,246.350006,246.350006,12309755
2021-02-10,246.350006,248.800003,239.300003,243.050003,243.050003,15882144
2021-02-11,243.050003,246.250000,241.100006,243.800003,243.800003,9300430
2021-02-12,244.199997,247.399994,240.100006,241.449997,241.449997,16784618
2021-02-15,244.000000,256.450012,243.300003,254.000000,254.000000,16898930
2021-02-16,255.699997,262.000000,249.449997,258.500000,258.500000,22630711
2021-02-17,257.600006,258.350006,251.199997,253.149994,253.149994,11880397
2021-02-18,254.000000,256.899994,249.000000,250.149994,250.149994,10919837
2021-02-19,250.000000,259.899994,243.250000,246.250000,246.250000,20676117
2021-02-22,246.899994,248.050003,233.800003,236.500000,236.500000,13378881
2021-02-23,238.600006,239.350006,231.300003,236.050003,236.050003,13036265
2021-02-24,237.000000,249.000000,230.050003,246.550003,246.550003,11200680
2021-02-25,250.250000,256.799988,247.100006,248.949997,248.949997,19598751
2021-02-26,238.399994,241.850006,234.199997,235.600006,235.600006,22815361
2021-03-01,239.000000,239.699997,232.050003,236.050003,236.050003,14473106
2021-03-02,237.000000,241.000000,233.800003,236.750000,236.750000,11756320
2021-03-03,238.899994,251.000000,238.000000,248.949997,248.949997,19666574
2021-03-04,243.800003,254.149994,241.050003,249.350006,249.350006,16439825
2021-03-05,248.000000,248.000000,238.300003,242.350006,242.350006,13885483
2021-03-08,244.750000,249.500000,243.100006,244.300003,244.300003,7687041
2021-03-09,246.699997,253.699997,242.050003,245.449997,245.449997,18766370
2021-03-10,248.649994,249.050003,239.500000,241.899994,241.899994,13512341
2021-03-12,245.000000,249.250000,241.600006,243.100006,243.100006,11277623
2021-03-15,243.550003,244.000000,230.800003,238.250000,238.250000,15693935
2021-03-16,239.899994,240.250000,233.550003,235.100006,235.100006,9124566
2021-03-17,235.000000,236.300003,222.000000,223.399994,223.399994,16440990
2021-03-18,227.300003,229.500000,217.250000,222.949997,222.949997,11280094
2021-03-19,220.250000,229.500000,214.399994,228.550003,228.550003,19513845
2021-03-22,228.100006,230.600006,223.100006,225.250000,225.250000,11332389
2021-03-23,226.000000,231.000000,224.100006,226.800003,226.800003,11435932
2021-03-24,224.850006,225.449997,215.000000,215.899994,215.899994,13757546
2021-03-25,217.000000,217.000000,203.750000,210.050003,210.050003,18673108
2021-03-26,213.899994,215.399994,210.149994,211.100006,211.100006,10330808
2021-03-30,213.000000,214.399994,206.949997,208.050003,208.050003,10297850
2021-03-31,208.699997,210.350006,203.750000,207.550003,207.550003,12364637
